System Size DC,Service Zip,Service County,App Approved Date,Customer Sector
25920.0,,SANTA BARBARA,2017-12-12,Industrial
20859.12,,KERN,2020-09-14,Industrial
16000.0,,Orange,2013-12-13,Not Available
14976.0,,YOLO,2015-08-26,Commercial
12341.44,95014.0,SANTA CLARA,2017-11-01,Industrial
11120.0,,Kern,2013-03-19,Not Available
10840.0,,Los Angeles,2025-03-19,Not Available
10422.36,,Los Angeles,2025-03-20,Not Available
10088.2,,Los Angeles,2010-12-29,Not Available
9765.66,93215.0,Kern,2023-09-22,Other Government
9683.328,93928.0,MONTEREY,2025-04-24,Military
9446.22,93249.0,KERN,2021-06-18,Commercial
9377.472,93245.0,KINGS,2022-12-28,Commercial
9183.72,96080.0,TEHAMA,2020-05-12,Commercial
7811.0,,San Bernardino,2003-02-28,Not Available
7803.732,,SAN BENITO,2024-09-06,Commercial
7261.07,93249.0,KERN,2023-04-21,Commercial
7084.0,,KERN,2023-09-29,Commercial
6894.954,94589.0,SOLANO,2019-12-20,Industrial
6774.97,92518.0,Riverside,2025-06-20,Commercial
6768.72,93249.0,KERN,2021-02-05,Commercial
6617.364,95301.0,MERCED,2024-02-16,Industrial
6599.88,91762.0,San Bernardino,2023-12-05,Commercial
6414.6492,92570.0,Riverside,2021-07-28,Other Government
6405.0,,Los Angeles,2022-04-28,Not Available
6293.214,95004.0,SAN BENITO,2022-09-08,Commercial
6151.72,,Orange,2021-05-18,Not Available
5865.6,92376.0,San Bernardino,2019-11-15,Commercial
5858.14,,Santa Barbara,2018-11-19,Not Available
5852.023999999999,95378.0,SAN JOAQUIN,2021-04-08,Commercial
5773.32,93622.0,FRESNO,2020-09-15,Commercial
5760.0,93637.0,MADERA,2024-06-25,Commercial
5652.18,92408.0,San Bernardino,2021-11-23,Commercial
5625.252,,MONTEREY,2023-09-27,Commercial
5624.561,,FRESNO,2025-03-07,Commercial
5620.784,94952.0,SONOMA,2025-02-03,Military
5560.749599999999,92551.0,Riverside,2021-07-28,Other Government
5551.24,95119.0,SANTA CLARA,2020-03-12,Commercial
5435.52,93702.0,FRESNO,2019-09-25,Commercial
5304.156,,KINGS,2013-12-16,Industrial
5230.0,,Los Angeles,2022-01-12,Not Available
5192.0,,San Bernardino,2018-05-21,Not Available
5154.1,92376.0,San Bernardino,2021-12-21,Commercial
5136.912,93610.0,MADERA,2020-12-18,Commercial
5124.729,93291.0,Tulare,2025-04-15,Industrial
5123.664,93308.0,KERN,2023-03-17,Commercial
5122.666,,SAN LUIS OBISPO,2018-05-10,Educational
5118.0,,Riverside,2021-02-19,Not Available
5090.4,,FRESNO,2023-11-09,Commercial
5066.578,95688.0,SOLANO,2023-01-30,Other Government
